confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
774	1	1	1	1	0.31811469802702835	0.31811469802702835	-300.9816439920675	N/A	253.31982897495118	C34H62O13	[M + H]+	VCEVJQODZQDDCZ	InChI=1S/C34H62O13/c1-7-8-9-10-11-12-13-14-15-16-27(38)45-31-30(41-19-22(2)3)28(39)25(17-35)44-33(31)47-34(21-43-24(6)37)32(42-20-23(4)5)29(40)26(18-36)46-34/h22-23,25-26,28-33,35-36,39-40H,7-21H2,1-6H3	Physordinose A	CCCCCCCCCCCC(=O)OC1C(C(C(OC1OC2(C(C(C(O2)CO)O)OCC(C)C)COC(=O)C)CO)O)OCC(C)C	5.6	56674892;46872008	SUPERNATURAL:(SN0386402);COCONUT:(CNP0248527);PUBCHEM:(56674892 46872008);LOTUS:(Q105283655);PUBMED	271581250	679.427	328.86242750167844	1904_mzmine_results_sirius_6961	6961
775	1	1	1	1	0.31800155968692895	0.31800155968692895	-106.25676185187173	N/A	169.5591637838306	C18H34O5	[M + H]+	XSKPTXLSWNXFMY	InChI=1S/C18H34O5/c19-16(13-9-5-3-7-11-15-18(22)23)12-8-4-1-2-6-10-14-17(20)21/h16,19H,1-15H2,(H,20,21)(H,22,23)	9-hydroxyoctadecanedioic acid	C(CCCCC(=O)O)CCCC(CCCCCCCC(=O)O)O	4.5	22000992;163029435	SUPERNATURAL:(SN0438828);COCONUT:(CNP0307682);PUBCHEM:(22000992 163029435);LOTUS:(Q105341061)	271581186	331.24867	275.1242493337393	1756_mzmine_results_sirius_6645	6645
776	1	1	1	1	0.3161161856525499	0.3161161856525499	-196.17053237822194	N/A	41.291784763449655	C17H31N3O4	[M + H3N + H]+	IDMRETVRRPHMEG	InChI=1S/C17H31N3O4/c1-5-11(4)13(18)16(22)20-8-6-12(7-9-20)15(21)19-14(10(2)3)17(23)24/h10-14H,5-9,18H2,1-4H3,(H,19,21)(H,23,24)	2-{[1-(2-amino-3-methylpentanoyl)piperidin-4-yl]formamido}-3-methylbutanoic acid	CCC(C)C(C(=O)N1CCC(CC1)C(=O)NC(C(C)C)C(=O)O)N	-1.0	16403357;4836810;135639382;1793369;1793370;25572856	SUPERNATURAL:(SN0142699);COCONUT:(CNP0387335);PUBCHEM:(16403357 4836810 135639382 1793369 1793370 25572856)	3145730	359.26548	75.125	693_mzmine_results_sirius_3165	3165
777	1	1	1	1	0.3155051340932777	0.3155051340932777	-330.9475497018034	N/A	204.94818037308002	C34H62O13	[M + H3N + H]+	VCEVJQODZQDDCZ	InChI=1S/C34H62O13/c1-7-8-9-10-11-12-13-14-15-16-27(38)45-31-30(41-19-22(2)3)28(39)25(17-35)44-33(31)47-34(21-43-24(6)37)32(42-20-23(4)5)29(40)26(18-36)46-34/h22-23,25-26,28-33,35-36,39-40H,7-21H2,1-6H3	Physordinose A	CCCCCCCCCCCC(=O)OC1C(C(C(OC1OC2(C(C(C(O2)CO)O)OCC(C)C)COC(=O)C)CO)O)OCC(C)C	5.6	56674892;46872008	SUPERNATURAL:(SN0386402);COCONUT:(CNP0248527);PUBCHEM:(56674892 46872008);LOTUS:(Q105283655);PUBMED	271581250	696.45342	328.7402503919499	1877_mzmine_results_sirius_6898	6898
778	1	1	1	1	0.31520153678956075	0.31520153678956075	-137.00451007229353	N/A	60.77555033849535	C23H44O4	[M + H3N + H]+	SWJZZQVADSNNAS	InChI=1S/C23H44O4/c1-2-3-4-5-6-7-8-9-10-11-15-18-21-27-23(26)20-17-14-12-13-16-19-22(24)25/h2-21H2,1H3,(H,24,25)	Tetradecyl hydrogen azelate	CCCCCCCCCCCCCCOC(=O)CCCCCCCC(=O)O	8.6	57356699	NORMAN:(NS00040307);PUBCHEM:(57356699);DSSTox:(DTXSID60241194)	137439215618	402.35794	281.3022361038625	1772_mzmine_results_sirius_6674	6674
779	1	1	1	1	0.3146623366281165	0.20731525806684512	-62.110643607908266	N/A	76.75864189857293	C8H7N3	[M + H3N + H]+	SZXUTTGMFUSMCE	InChI=1S/C8H7N3/c1-2-4-9-7(3-1)8-10-5-6-11-8/h1-6H,(H,10,11)	2-(1H-Imidazol-2-yl)pyridine	C1=CC=NC(=C1)C2=NC=CN2	0.7	589313	MESH:(589313);PUBCHEM:(589313);DSSTox:(DTXSID00343363);PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBMED	137506062406	163.09789	494.9225005827761	2179_mzmine_results_sirius_7522	7522
780	1	1	1	1	0.31410327267143867	0.31410327267143867	-215.80722270733327	N/A	32.3560073080857	C26H48O9	[M + Na]+	PPMPLIBYTIWXPG	InChI=1S/C26H48O9/c1-4-6-8-10-12-14-19(16-21(27)28)34-22(29)17-20(15-13-11-9-7-5-2)35-26-25(32)24(31)23(30)18(3)33-26/h18-20,23-26,30-32H,4-17H2,1-3H3,(H,27,28)	Rhamnolipid 2	CCCCCCCC(CC(=O)O)OC(=O)CC(CCCCCCC)OC1C(C(C(C(O1)C)O)O)O	4.7	154679046;154679049;163014377;163014378;58475060;102035691;101702086;162510925;162510932;162510936;52921579;66670010;155058698;75955025;89885301;56936286;54201388;10769134;162246;164702414;90292292	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0257327);BloodExposome:(162246);PUBCHEMANNOTATIONSAFETYANDTOXIC;SUPERNATURAL:(SN0291721);LIPIDMAPS:(LMFA13030001);MESH:(162246);PUBCHEM:(154679046 154679049 163014377 163014378 58475060 102035691 101702086 162510925 162510932 162510936 52921579 66670010 155058698 75955025 89885301 56936286 54201388 10769134 162246 164702414 90292292);COCONUT:(CNP0289931);CHEBI:(185618 62238 62255);LOTUS:(Q105212961 Q27131721);DSSTox:(DTXSID50885662);PUBMED	139946098798	527.31763	311.54709820555706	1838_mzmine_results_sirius_6826	6826
781	1	1	1	1	0.3140108423433837	0.3140108423433837	-287.4884969432336	N/A	76.5491063882255	C22H27N9O4	[M + H]+	UPBAOYRENQEPJO	InChI=1S/C22H27N9O4/c1-29-9-13(26-12-32)6-17(29)21(34)28-15-8-18(31(3)11-15)22(35)27-14-7-16(30(2)10-14)20(33)25-5-4-19(23)24/h6-12H,4-5H2,1-3H3,(H3,23,24)(H,25,33)(H,26,32)(H,27,35)(H,28,34)	Distamycin A	CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NC3=CN(C(=C3)C(=O)NCCC(=N)N)C)C)NC=O	-1.8	23553560;3115	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0251483);BloodExposome:(3115);PUBCHEMANNOTATIONSAFETYANDTOXIC;SUPERNATURAL:(SN0376303);MESH:(3115);PUBCHEM:(23553560 3115);NORMAN:(NS00011743 NS00082707);COCONUT:(CNP0113980);DSSTox:(DTXSID301028195 DTXSID9045637);PUBCHEMANNOTATIONDRUG;PUBMED	137563996238	482.22425	52.6325	394_mzmine_results_sirius_1913	1913
782	1	1	1	1	0.3138115417714624	0.7442215810247608	-223.0297685815075	N/A	67.44009412848987	C13H15NO5	[M + H3N + H]+	QFNMSDIRMFONHR	InChI=1S/C13H15NO5/c1-8(15)14-12(13(18)19-9(2)16)7-10-3-5-11(17)6-4-10/h3-6,12,17H,7H2,1-2H3,(H,14,15)	Acetyl 2-acetamido-3-(4-hydroxyphenyl)propanoate	CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)OC(=O)C	0.9949	21116289;73743562	NORMAN:(NS00051640);PUBCHEM:(21116289 73743562)	262146	283.12883	36.18375	229_mzmine_results_sirius_1166	1166
783	1	1	1	1	0.3136005932184346	0.3136005932184346	-76.31696186131781	N/A	93.4699170150246	C16H29N3O6	[M + H]+	INGJLBQKTRJLFO	InChI=1S/C16H29N3O6/c1-5-9(4)13(15(23)18-12(8(2)3)16(24)25)19-14(22)10(17)6-7-11(20)21/h8-10,12-13H,5-7,17H2,1-4H3,(H,18,23)(H,19,22)(H,20,21)(H,24,25)	H-DL-Glu-DL-xiIle-DL-Val-OH	CCC(C)C(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCC(=O)O)N	-0.03991518	18220315;71464664	SUPERNATURAL:(SN0150126);PUBCHEM:(18220315 71464664);LOTUS:(Q27140577);BloodExposome:(71464664);CHEBI:(73499)	273678370	360.2133	69.62572265624999	624_mzmine_results_sirius_2875	2875
784	1	1	1	1	0.3134146380794883	0.3134146380794883	-326.8554885232658	N/A	41.57722551823078	C34H60O13	[M + Na]+	BIIREZIBDQHNJJ	InChI=1S/C34H60O13/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-41-33-30(28(40)27(39)26(21-35)46-33)47-34-32(45-25(5)38)31(44-24(4)37)29(22(2)42-34)43-23(3)36/h22,26-35,39-40H,6-21H2,1-5H3	4,5-bis(acetyloxy)-6-{[2-(hexadecyloxy)-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy}-2-methyloxan-3-yl acetate	CCCCCCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)C)OC(=O)C)OC(=O)C)OC(=O)C	6.3	162973200;76336129	SUPERNATURAL:(SN0026368);COCONUT:(CNP0244855);PUBCHEM:(162973200 76336129);LOTUS:(Q104936522);PUBMED	271581250	699.39113	313.18919878242536	1856_mzmine_results_sirius_6861	6861
785	1	1	1	1	0.3131873520876162	0.3131873520876162	-66.04292391536701	N/A	88.95263466754162	C14H23N3O8	[M + H]+	VLOYGOZDPGYWFO	InChI=1S/C14H23N3O8/c1-6(2)11(15)13(23)17-8(5-10(20)21)12(22)16-7(14(24)25)3-4-9(18)19/h6-8,11H,3-5,15H2,1-2H3,(H,16,22)(H,17,23)(H,18,19)(H,20,21)(H,24,25)	2-[[2-[(2-Amino-3-methylbutanoyl)amino]-3-carboxypropanoyl]amino]pentanedioic acid	CC(C)C(C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O)N	-3.9	101586345;18232275	PUBCHEM:(101586345 18232275);CHEBI:(166119)	34	362.15615	22.494999999999997	15_mzmine_results_sirius_99	99
786	1	1	1	1	0.3131397743379958	0.3131397743379958	-179.86401397785085	N/A	55.598615082880784	C17H29N3O5	[M + H]+	LMYMHXZFXQFJRO	InChI=1S/C17H29N3O5/c1-9(2)13(18-11(5)21)16(23)20-8-6-7-12(20)15(22)19-14(10(3)4)17(24)25/h9-10,12-14H,6-8H2,1-5H3,(H,18,21)(H,19,22)(H,24,25)	Ac-Val-Pro-Val-OH	CC(C)C(C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)O)NC(=O)C	0.73109514	159397819	PUBCHEM:(159397819)	2	356.21849	114.02594630718232	1054_mzmine_results_sirius_4854	4854
787	1	1	1	1	0.3128471898747588	0.3128471898747588	-130.79844923911847	N/A	54.3792313261208	C12H9NO2	[M + H3N + H]+	QHJIDQGIAPCVMU	InChI=1S/C12H9NO2/c14-12(15)8-7-10-6-5-9-3-1-2-4-11(9)13-10/h1-8H,(H,14,15)	3-(quinolin-2-yl)prop-2-enoic acid	C1=CC=C2C(=C1)C=CC(=N2)C=CC(=O)O	2.1546612	5892047;712919;1572123;223847;3674311	SUPERNATURAL:(SN0305438);COCONUT:(CNP0369130);PUBCHEM:(5892047 712919 1572123 223847 3674311);PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBMED	70254658	217.09744	69.5	626_mzmine_results_sirius_2877	2877
788	1	1	1	1	0.3127243916977239	0.3127243916977239	-46.56570518910736	N/A	27.462912786658894	C7H9N3	[M + H]+	SESYNEDUKZDRJL	InChI=1S/C7H9N3/c1-7-9-4-6-10(7)5-2-3-8/h4,6H,2,5H2,1H3	3-(2-methyl-1H-imidazol-3-ium-3-yl)propanenitrile	CC1=NC=CN1CCC#N	0.0	1810488;90328	NORMAN:(NS00021907);PUBCHEM:(1810488 90328);DSSTox:(DTXSID5066950);PUBCHEMANNOTATIONSAFETYANDTOXIC	137506324482	136.08666	483.28499999999997	2160_mzmine_results_sirius_7479	7479
789	1	1	1	1	0.31240546067174885	0.31240546067174885	-146.12025229632374	N/A	55.7658750130895	C9H4O3	[M + H3N + H]+	WVZWEMOFSIEEMU	InChI=1S/C9H4O3/c10-7-5-3-1-2-4-6(5)8(11)9(7)12/h1-4H	Indan-1,2,3-trione	C1=CC=C2C(=C1)C(=O)C(=O)C2=O	0.9	70309	NORMAN:(NS00039654);PUBCHEM:(70309);DSSTox:(DTXSID40239655 DTXSID80179364)	137439215618	178.05006	99.32512058258057	937_mzmine_results_sirius_4280	4280
790	1	1	1	1	0.3120639287546532	0.3120639287546532	-222.4908350415901	N/A	134.8839948336091	C19H33N3O7	[M + H]+	YLXBMMFZTKKBAO	InChI=1S/C19H33N3O7/c1-9(2)14(21-16(25)11(5)6)18(27)20-12(7-8-13(23)24)17(26)22-15(10(3)4)19(28)29/h9-12,14-15H,7-8H2,1-6H3,(H,20,27)(H,21,25)(H,22,26)(H,23,24)(H,28,29)	isobutyryl-Val-Glu-Val-OH	CC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(C(C)C)C(=O)O)NC(=O)C(C)C	1.5	117669453	PUBCHEM:(117669453)	2	416.23911	144.28293308258057	1242_mzmine_results_sirius_5543	5543
791	1	1	1	1	0.3117418647902701	0.3117418647902701	-363.9292161757674	N/A	47.43485236464474	C26H46N6O10	[M + H]+	OYFVPOABQXXDNO	InChI=1S/C26H46N6O10/c33-21-7-10-24(36)30(39)16-5-2-4-14-28-22(34)8-12-26(38)32(41)18-20-42-19-15-29-23(35)9-11-25(37)31(40)17-6-1-3-13-27-21/h39-41H,1-20H2,(H,27,33)(H,28,34)(H,29,35)	Desferrioxamine Et1	C1CCNC(=O)CCC(=O)N(CCOCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O	-3.4	14671623	COCONUT:(CNP0295307);SUPERNATURAL:(SN0278339);PUBCHEM:(14671623);LOTUS:(Q77423796);TRAIN;PUBMED	271597634	603.33524	63.0721875	539_mzmine_results_sirius_2522	2522
792	1	1	1	1	0.31110145894708247	0.6579142196148092	-100.61207067562178	N/A	12.899345849561215	C10H20N2O4	[M + Na]+	LRKCBIUDWAXNEG	InChI=1S/C10H20N2O4/c1-5(2)4-7(11)9(14)12-8(6(3)13)10(15)16/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16)		CC(C)CC(C(=O)NC(C(C)O)C(=O)O)N	-0.5473268	145453495;10353878;104903192;104965179;104965278;61156960;18218222	COCONUT:(CNP0455522);HMDB:(HMDB0028939);BloodExposome:(18218222);CHEBI:(73589 178207);SUPERNATURAL:(SN0213338);PUBCHEM:(145453495 10353878 104903192 104965179 104965278 61156960 18218222);FooDB:(FDB111963);GNPS:(CCMSLIB00003135503);LOTUS:(Q27141903);PUBCHEMANNOTATIONDRUG	846204970	255.13132	45.41437499999999	299_mzmine_results_sirius_1497	1497
793	1	1	1	1	0.31104921062643937	0.3352114754474831	-41.548581803950675	N/A	53.19101746926455	C13H25N3O6	[M + H]+	PPGBXYKMUMHFBF	InChI=1S/C13H25N3O6/c1-6(2)4-8(14)11(19)15-9(5-17)12(20)16-10(7(3)18)13(21)22/h6-10,17-18H,4-5,14H2,1-3H3,(H,15,19)(H,16,20)(H,21,22)	2-[[2-[(2-Amino-4-methylpentanoyl)amino]-3-hydroxypropanoyl]amino]-3-hydroxybutanoic acid	CC(C)CC(C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)O)N	-1.7503532	145456519;18222252	PUBCHEM:(145456519 18222252);CHEBI:(159512)	34	320.18085	42.37123046875	267_mzmine_results_sirius_1346	1346
794	1	1	1	1	0.31027879929613406	0.31027879929613406	-54.5933138851834	N/A	72.15467253035104	C18H38O4	[M + H3N + H]+	FKMHSNTVILORFA	InChI=1S/C18H38O4/c1-2-3-4-5-6-7-8-9-10-11-13-20-15-17-22-18-16-21-14-12-19/h19H,2-18H2,1H3	null	CCCCCCCCCCCCOCCOCCOCCO	4.412635	131668279;76458	NORMAN:(NS00013815);PUBCHEMANNOTATIONBIO;PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(76458);PUBCHEM:(131668279 76458);DSSTox:(DTXSID6058631);PUBMED	137523101766	336.31062	327.68566995302683	1891_mzmine_results_sirius_6924	6924
795	1	1	1	1	0.3099155439236062	0.3099155439236062	-437.1608494942879	N/A	37.01582266070935	C20H30N2O3	[M + H]+	UWDIQZJVMAKUPJ	InChI=1S/C20H30N2O3/c1-6-15(4)18(23)20(25)22(5)17(14(2)3)19(24)21-13-12-16-10-8-7-9-11-16/h7-11,14-15,17H,6,12-13H2,1-5H3,(H,21,24)	nevaltophin a	CCC(C)C(=O)C(=O)N(C)C(C(C)C)C(=O)NCCC1=CC=CC=C1	3.7	163169723;163169724;132509308	COCONUT:(CNP0470126);CHEBI:(182200);SUPERNATURAL:(SN0381717);PUBCHEM:(163169723 163169724 132509308);LOTUS:(Q105280287);TRAIN	271597602	347.23306	216.59196773387083	1550_mzmine_results_sirius_6186	6186
796	1	1	1	1	0.30973069822240684	0.33053330363087335	-43.88040094533257	N/A	67.46198814130699	C15H29N3O5	[M + H]+	RIAKPZVSNBBNRE	InChI=1S/C15H29N3O5/c1-5-9(4)12(18-13(20)10(16)7-19)14(21)17-11(15(22)23)6-8(2)3/h8-12,19H,5-7,16H2,1-4H3,(H,17,21)(H,18,20)(H,22,23)	2-[[2-[(2-Amino-3-hydroxypropanoyl)amino]-3-methylpentanoyl]amino]-4-methylpentanoic acid	CCC(C)C(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CO)N	-0.1333128	18223967;44230708	PUBCHEM:(18223967 44230708);CHEBI:(163198)	34	332.21833	91.781875	877_mzmine_results_sirius_3992	3992
797	1	1	1	1	0.3087169213960298	0.3087169213960298	-236.1925779894033	N/A	14.693290571386674	C30H56O9	[M + Na]+	WMDBOPHOMUTUIP	InChI=1S/C30H56O9/c1-4-6-8-10-11-12-13-15-17-19-24(39-30-29(36)28(35)27(34)22(3)37-30)21-26(33)38-23(20-25(31)32)18-16-14-9-7-5-2/h22-24,27-30,34-36H,4-21H2,1-3H3,(H,31,32)	3-[3-[(2R,4S,5R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxytetradecanoyloxy]decanoic acid	CCCCCCCCCCCC(CC(=O)OC(CCCCCCC)CC(=O)O)OC1C(C(C(C(O1)C)O)O)O	6.9	162510911	LIPIDMAPS:(LMFA13030014);PUBCHEM:(162510911)	2147483650	583.38194	386.93	2033_mzmine_results_sirius_7259	7259
798	1	1	1	1	0.30814885737290526	0.30814885737290526	-204.93747336854526	N/A	74.4759408750304	C18H34N2O8	[M + H]+	HKOVMJGGVHCEHW	InChI=1S/C18H34N2O8/c1-5-10(4)13(17(25)26)20-16(24)11(6-9(2)3)19-8-18(27)15(23)14(22)12(21)7-28-18/h9-15,19,21-23,27H,5-8H2,1-4H3,(H,20,24)(H,25,26)		CCC(C)C(C(=O)O)NC(=O)C(CC(C)C)NCC1(C(C(C(CO1)O)O)O)O	-2.5	146018663;146035617	SUPERNATURAL:(SN0128207);COCONUT:(CNP0448108);PUBCHEM:(146018663 146035617)	3145730	407.23976	113.139375	1046_mzmine_results_sirius_4818	4818
799	1	1	1	1	0.3073850811903801	0.3073850811903801	-416.2775235331645	N/A	21.862277032712612	C17H20N2O4	[M + H3N + H]+	PQGXOOYPAAFXRW	InChI=1S/C17H20N2O4/c1-2-23-15(20)11-19-13-8-4-3-7-12(13)16(21)18-10-6-5-9-14(18)17(19)22/h3-4,7-8,14H,2,5-6,9-11H2,1H3	ethyl 2-{2,10-dioxo-1,9-diazatricyclo[9.4.0.0³,⁸]pentadeca-3,5,7-trien-9-yl}acetate	CCOC(=O)CN1C2=CC=CC=C2C(=O)N3CCCCC3C1=O	1.7	16407768;73256906	SUPERNATURAL:(SN0292352);COCONUT:(CNP0269519);PUBCHEM:(16407768 73256906)	3145730	334.17626	63.14	498_mzmine_results_sirius_2366	2366
800	1	1	1	1	0.3070210062622731	0.3070210062622731	-247.57967719756545	N/A	27.20953368384852	C20H25NO2	[M + H]+	BRAQVHKZUKAFMR	InChI=1S/C20H25NO2/c1-3-4-5-6-7-15-8-9-16-12-20(22)18-13-17(23-2)10-11-19(18)21(16)14-15/h4-5,10-13,15H,3,6-9,14H2,1-2H3	6-Methoxydictyolomide A	CCC=CCCC1CCC2=CC(=O)C3=C(N2C1)C=CC(=C3)OC	4.5	22298570;22298571;162989956;162989957;643838;73880874	SUPERNATURAL:(SN0033117);COCONUT:(CNP0262903);PUBCHEM:(22298570 22298571 162989956 162989957 643838 73880874);LOTUS:(Q104944678 Q104944675);KNAPSACK:(BRAQVHKZUKAFMR-UHFFFAOYSA-N)	271581202	312.19598	255.388125	1707_mzmine_results_sirius_6545	6545
801	1	1	1	1	0.306958600920433	0.306958600920433	-155.19003860122191	N/A	65.39065384344005	C20H25NO2	[M + H]+	CHEBZMPFNARXFP	InChI=1S/C20H25NO2/c1-14(2)8-7-12-20(3)13-11-16-18(23-20)15-9-5-6-10-17(15)21(4)19(16)22/h5-6,8-10H,7,11-13H2,1-4H3	2,6-dimethyl-2-(4-methylpent-3-en-1-yl)-2H,3H,4H,5H,6H-pyrano[3,2-c]quinolin-5-one	CC(=CCCC1(CCC2=C(O1)C3=CC=CC=C3N(C2=O)C)C)C	4.2	44559726	SUPERNATURAL:(SN0045663);COCONUT:(CNP0085844);PUBCHEM:(44559726);PUBMED	3145794	312.19581	250.51260121131304	1691_mzmine_results_sirius_6514	6514
802	1	1	1	1	0.3068507104003	0.3068507104003	-203.2558788777353	N/A	38.372166290542445	C32H58O13	[M + Na]+	FCBUKWWQSZQDDI	InChI=1S/C32H58O13/c1-5-7-9-11-13-15-21(17-23(33)34)43-24(35)18-22(16-14-12-10-8-6-2)44-32-30(28(39)26(37)20(4)42-32)45-31-29(40)27(38)25(36)19(3)41-31/h19-22,25-32,36-40H,5-18H2,1-4H3,(H,33,34)	Rha-Rha-C10-C10	CCCCCCCC(CC(=O)O)OC(=O)CC(CCCCCCC)OC1C(C(C(C(O1)C)O)O)OC2C(C(C(C(O2)C)O)O)O	3.6	154679050;101098711;9809723;9895826;9895827;157986623;53262312;163028564;5458394;163542234;163542235;102035696;95907785;95907786;95907787;95907788;89889616;56936289;11093521;10818589;122732;425975;164702419;90292337	COCONUT:(CNP0306680);PUBCHEMANNOTATIONBIO;PUBCHEMANNOTATIONSAFETYANDTOXIC;CHEBI:(62570 62522 184972);SUPERNATURAL:(SN0081657);LIPIDMAPS:(LMFA13030005);MESH:(122732 5458394);PUBCHEM:(154679050 101098711 9809723 9895826 9895827 157986623 53262312 163028564 5458394 163542234 163542235 102035696 95907785 95907786 95907787 95907788 89889616 56936289 11093521 10818589 122732 425975 164702419 90292337);LOTUS:(Q104993063 Q104993064);DSSTox:(DTXSID80884062);PUBMED	139941904486	673.37796	293.9066716813815	1811_mzmine_results_sirius_6756	6756
803	1	1	1	1	0.30583827376379125	0.30583827376379125	-219.1937633389477	N/A	48.56895458503484	C22H37N3O7	[M + H3N + H]+	NPGKBAMICUTCQX	InChI=1S/C22H37N3O7/c1-13(2)19(25-21(31)17(27)11-15-7-5-4-6-8-15)22(32)23-14(3)20(30)24-16(9-10-26)12-18(28)29/h10,13-17,19,27H,4-9,11-12H2,1-3H3,(H,23,32)(H,24,30)(H,25,31)(H,28,29)	(3R)-3-[[(2S)-2-[[(2S)-2-[(3-cyclohexyl-2-hydroxypropanoyl)amino]-3-methylbutanoyl]amino]propanoyl]amino]-5-oxopentanoic acid	CC(C)C(C(=O)NC(C)C(=O)NC(CC=O)CC(=O)O)NC(=O)C(CC1CCCCC1)O	1.5	87877880	PUBCHEM:(87877880)	2	473.29828	104.1028125	968_mzmine_results_sirius_4460	4460
804	1	1	1	1	0.30479372430538815	0.6023802246697744	-43.30087487507867	N/A	105.96205533497303	C9H8O3	[M + H]+	PMOWTIHVNWZYFI	InChI=1S/C9H8O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-6,10H,(H,11,12)	Coumaric Acid	C1=CC=C(C(=C1)C=CC(=O)O)O	1.392922	5280841;637540;11968;54690158;54693535;54714352	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0002641 HMDB0041592 HMDB0304296);BloodExposome:(11968 637540);PUBCHEMANNOTATIONSAFETYANDTOXIC;SUPERNATURAL:(SN0289541);MESH:(11968 637540);PUBCHEM:(5280841 637540 11968 54690158 54693535 54714352);FooDB:(FDB011258 FDB021703 FDB030743);NORMAN:(NS00014689);COCONUT:(CNP0207361);METACYC:(2-COUMARATE CPD-7418);CHEBI:(11594 18125 18176 12875 28873 47921);PLANTCYC:(2-COUMARATE CPD-7418);KEGG:(C05838 C01772);LOTUS:(Q7072006 Q27102874 Q27103936);DSSTox:(DTXSID10883240 DTXSID70862233);PUBCHEMANNOTATIONDRUG;KNAPSACK:(PMOWTIHVNWZYFI-UHFFFAOYSA-N);PUBMED;PUBCHEMANNOTATIONFOOD	138503653758	165.05458	24.224076592624186	67_mzmine_results_sirius_321	321
805	1	1	1	1	0.3045799292087654	0.7108431396371269	-28.951406016194998	N/A	8.888008933909836	C12H8N2O	[M + H]+	SVRNCBGWUMMBQB	InChI=1S/C12H8N2O/c15-11-7-3-6-10-12(11)14-9-5-2-1-4-8(9)13-10/h1-7,15H	phenazin-1-ol	C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)O	2.3	135412648	PUBCHEMANNOTATIONBIO;MiMeDB:(MMDBc0050868);PUBCHEMANNOTATIONSAFETYANDTOXIC;SUPERNATURAL:(SN0188807 SN0356618);MESH:(135412648);PUBCHEM:(135412648);GNPS:(CCMSLIB00000080019);COCONUT:(CNP0142970 CNP0146770);METACYC:(CPD-18561);CHEBI:(62216);KEGG:(C21477);LOTUS:(Q27131689 Q105142657);DSSTox:(DTXSID70871744);PUBCHEMANNOTATIONDRUG;KNAPSACK:(SVRNCBGWUMMBQB-UHFFFAOYSA-N);PUBMED	138901723510	197.07048	158.75	1296_mzmine_results_sirius_5657	5657
806	1	1	1	1	0.30365773606289476	0.30365773606289476	-90.39892094946859	N/A	68.82948841014196	C19H35N5O7	[M + H]+	SAFFOBQQHXXBQM	InChI=1S/C19H35N5O7/c1-5-11(4)16(20)18(29)22-8-15(27)24-13(9-25)17(28)21-7-14(26)23-12(19(30)31)6-10(2)3/h10-13,16,25H,5-9,20H2,1-4H3,(H,21,28)(H,22,29)(H,23,26)(H,24,27)(H,30,31)	H-Ile-Gly-Ser-Gly-Leu-OH	CCC(C)C(C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(CC(C)C)C(=O)O)N	-1.5735854	25157958	PUBCHEM:(25157958)	2	446.26134	82.625	771_mzmine_results_sirius_3481	3481
807	1	1	1	1	0.3030424343354455	0.3030424343354455	-240.04692693735348	N/A	56.62914964880319	C11H16FNO5	[M + H3N + H]+	CHYMSTOABGKDIQ	InChI=1S/C11H16FNO5/c1-11(2,3)18-10(17)8(14)13-5-6(12)4-7(13)9(15)16/h6-7H,4-5H2,1-3H3,(H,15,16)	(2S,4R)-4-fluoro-1-[2-[(2-methylpropan-2-yl)oxy]-2-oxoacetyl]pyrrolidine-2-carboxylic acid	CC(C)(C)OC(=O)C(=O)N1CC(CC1C(=O)O)F	1.2	134284993	PUBCHEM:(134284993)	2	279.13481	57.86	451_mzmine_results_sirius_2115	2115
